,,,,,,"Usage by your institution, 2008-2017 (except for downloads)",,,,,,,,,"OA articles in 1findr, 2008-2017",,,"Scopus, 2008-2017",,Subject Areas,,,Papers per journal/provider by your institution's authors (as measured in Scopus),,,,,,,,,,References to journal/provider by your institution's authors (as measured in Scopus),,,,,,,,,,OA papers in 1findr per journal/provider (intersection with Scopus),,,,,,,,,,% of OA papers in 1findr per journal/provider (intersection with Scopus),,,,,,,,,,Total papers in Scopus per journal/provider,,,,,,,,,,Downloads JR1,,,,JID,Journal Name(s) provided by the client
,Sort,Journal,ISSN/eISSN,Provider,Type,"Downloads 
JR1 2014-2017",Downloads JR1 2017,Downloads JR5 2017 in 2017,References,Papers,"Synthetic 
Usage","Journal 
Tier","Subfield 
,"13,866",Oxford UP,,Oxford UP,Package,,103150.00,1730.00,"25,409",883,"314,435",9,6,66%,"308,325",92.80%,,"332,261",1.49,N/A,N/A,N/A,91,88,81,71,87,79,124,109,111,42,899,"1,387","1,852","2,186","2,569","2,778","3,381","3,693","4,049","2,615","28,785","30,544","29,663","32,843","33,926","34,805","37,451","34,546","33,300","12,462",89.60%,88.80%,93.20%,93.40%,92.90%,93.80%,94.20%,94.30%,96.00%,88.60%,"32,110","34,390","31,829","35,181","36,506","37,112","39,736","36,628","34,697","14,072","77,381","80,648","103,150","50,641",,
,"14,218",Project MUSE,,Project MUSE,Package,,54367.00,5298.00,"1,381",332,"94,090",9,4,93%,"17,808",25.00%,,"71,141",1.2,N/A,N/A,N/A,39,33,28,45,32,32,32,34,36,21,35,59,82,105,156,142,183,208,239,172,"1,667","1,831","2,028","1,866","1,863","2,028","2,213","1,918","1,815",579,26.80%,27.00%,28.40%,26.10%,25.30%,25.80%,26.40%,22.30%,22.00%,17.10%,"6,218","6,770","7,150","7,162","7,368","7,854","8,382","8,600","8,244","3,393","37,627","44,384","54,367","18,886",,
,"14,633",ProQuest,,ProQuest,Package,,15091.00,356.00,"91,041","3,857","717,052",12,7,71%,"1,051,226",55.10%,,"1,906,190",1.23,N/A,N/A,N/A,318,317,282,396,427,420,471,459,485,282,"3,215","4,342","5,697","7,417","9,491","10,035","11,434","13,114","16,052","10,244","65,163","71,229","80,496","92,843","109,078","131,255","143,501","140,940","143,183","73,538",48.10%,49.40%,52.10%,53.30%,54.60%,58.60%,59.30%,59.50%,57.90%,49.60%,"135,376","144,051","154,548","174,052","199,899","224,067","241,829","236,749","247,436","148,183","3,544","12,887","15,091","6,047",,
,"16,574",Royal Society of Chemistry,,Royal Society of Chemistry,Package,,24381.00,5759.00,"3,644",195,"62,435",7,12,9%,"57,820",23.90%,,"241,715",1.34,N/A,N/A,N/A,7,8,12,23,15,23,31,34,32,10,50,85,147,205,241,392,459,670,789,606,"1,690","2,488","3,419","5,183","5,272","6,049","8,778","10,017","9,152","5,772",22.80%,24.00%,25.60%,25.50%,22.40%,22.00%,24.00%,22.50%,22.40%,33.30%,"7,402","10,387","13,381","20,296","23,485","27,476","36,589","44,490","40,860","17,349","31,162","23,702","24,381","11,509",,
,"16,622",Sage,,Sage,Package,,68907.00,9810.00,"14,267","1,052","243,645",12,5,35%,"136,296",36.30%,,"375,093",1.05,N/A,N/A,N/A,99,105,108,92,96,97,121,129,126,79,500,735,951,"1,020","1,414","1,558","1,836","2,160","2,369","1,724","11,176","11,585","13,049","13,122","13,914","14,924","18,646","18,639","13,731","7,510",35.10%,34.30%,36.20%,34.90%,35.50%,36.30%,42.40%,39.50%,33.90%,31.50%,"31,829","33,757","36,078","37,636","39,209","41,098","43,941","47,161","40,545","23,839",N/A,N/A,"68,907","42,228",,
,"17,474",SPIE,,SPIE,Package,,1436.00,177.00,200,15,"3,946",13,11,0%,"5,755",39.00%,,"14,743",0.86,N/A,N/A,N/A,2,1,3,0,0,3,1,1,4,0,4,7,13,19,12,43,11,25,44,22,319,328,504,572,669,731,878,697,673,384,29.70%,32.20%,41.90%,42.10%,42.30%,47.10%,47.30%,38.00%,32.10%,33.00%,"1,074","1,018","1,204","1,360","1,583","1,551","1,858","1,835","2,098","1,162",644,"1,243","1,436",475,,
,"17,486",Springer,,Springer,Package,,134038.00,32909.00,"40,387","2,601","579,798",13,7,40%,"763,170",37.30%,,"2,045,483",0.89,N/A,N/A,N/A,222,204,202,252,284,270,335,282,323,227,"1,172","1,665","2,264","3,054","4,430","4,947","5,540","5,881","6,641","4,793","58,029","67,194","72,605","79,134","83,374","91,391","96,792","83,164","84,483","47,004",36.20%,38.80%,39.80%,40.40%,40.10%,39.80%,38.80%,36.40%,34.60%,27.10%,"160,248","172,985","182,570","195,975","207,999","229,525","249,645","228,677","244,142","173,717","105,079","111,666","134,038","80,215",,
,"20,041",Taylor & Francis,,Taylor & Francis,Package,,46514.00,7135.00,"12,492","1,323","230,138",13,7,54%,"167,228",19.90%,,"839,869",0.81,N/A,N/A,N/A,117,110,132,145,143,119,149,153,148,107,388,600,806,927,"1,252","1,314","1,508","1,913","2,315","1,469","13,824","15,706","17,199","17,793","17,042","18,370","19,356","20,173","18,638","9,127",21.30%,22.50%,21.80%,21.20%,19.70%,20.20%,20.80%,20.80%,18.50%,12.20%,"64,842","69,804","78,737","83,867","86,551","90,990","92,857","96,889","100,697","74,635","20,650","22,503","46,514","40,026",,
,"22,115",U Chicago Press,,U Chicago Press,Package,,6803.00,1244.00,"1,187",109,"23,446",6,4,98%,"5,687",39.50%,,"14,409",1.99,N/A,N/A,N/A,14,8,9,14,6,18,9,13,10,8,40,72,67,94,128,101,159,179,159,188,678,609,605,562,598,589,648,635,556,207,48.50%,43.30%,43.10%,40.60%,41.30%,39.60%,38.50%,38.70%,33.20%,23.20%,"1,397","1,405","1,403","1,383","1,448","1,487","1,682","1,639","1,673",892,N/A,"8,780","6,803","4,385",,
,"22,169",Wiley,,Wiley,Package,,246771.00,36531.00,"66,210","3,151","899,764",10,7,63%,"552,815",35.20%,,"1,568,470",1.23,N/A,N/A,N/A,311,327,316,300,318,315,328,347,331,258,"2,666","3,795","4,793","5,785","6,908","7,528","8,582","9,237","10,175","6,741","57,057","59,499","60,042","60,268","60,073","59,115","61,223","56,297","49,990","29,251",37.00%,38.50%,38.20%,37.20%,36.90%,35.90%,37.40%,34.70%,30.90%,23.40%,"154,002","154,606","157,284","161,948","162,984","164,470","163,681","162,397","162,030","125,068","205,077","212,540","246,771","110,245",,
